Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.500000,3.542500,3.500000,3.500000,1.795995,585600
2000-01-04,3.466666,3.474166,3.416666,3.416666,1.753233,782400
2000-01-05,3.375000,3.416666,3.375000,3.416666,1.753233,1876800
2000-01-06,3.416666,3.500000,3.416666,3.416666,1.753233,792000
2000-01-07,3.458333,3.559166,3.458333,3.541666,1.817375,5347200
2000-01-10,3.750000,3.833333,3.750000,3.833333,1.967042,2980800
2000-01-11,3.833333,3.858333,3.808333,3.841666,1.971317,326400
2000-01-12,3.850000,3.916666,3.841666,3.879166,1.990561,5068800
2000-01-13,4.008333,4.008333,4.008333,4.008333,2.056842,120000
2000-01-14,4.017500,4.083333,4.017500,4.083333,2.095327,3484800
2000-01-17,4.083333,4.166666,4.083333,4.166666,2.138088,230400
2000-01-18,4.125000,4.125000,4.025000,4.041666,2.073946,3724800
2000-01-19,4.041666,4.050833,4.000000,4.025000,2.065394,1872000
2000-01-20,4.000000,4.000000,4.000000,4.000000,2.052566,748800
2000-01-21,4.000000,4.000000,3.916666,3.916666,2.009803,144000
2000-01-24,3.916666,4.041666,3.916666,4.000000,2.052566,705600
2000-01-25,4.000000,4.000000,4.000000,4.000000,2.052566,0
2000-01-26,3.966666,3.966666,3.966666,3.966666,2.035460,196800
2000-01-27,4.041666,4.041666,4.000000,4.000000,2.052566,686400
2000-01-28,4.000000,4.000000,4.000000,4.000000,2.052566,211200
2000-01-31,4.000000,4.000000,4.000000,4.000000,2.052566,0
2000-02-01,3.916666,3.916666,3.916666,3.916666,2.009803,148800
2000-02-02,3.950000,3.950000,3.750000,3.750000,1.924280,739200
2000-02-03,3.708333,3.833333,3.708333,3.750000,1.924280,4382400
2000-02-04,3.750000,3.891666,3.750000,3.891666,1.996975,345600
2000-02-07,3.916666,4.083333,3.916666,4.083333,2.095327,81600
2000-02-08,4.083333,4.320833,4.083333,4.320833,2.217198,1036800
2000-02-09,4.258333,4.366666,4.250000,4.250000,2.180851,6081600
2000-02-10,4.250000,4.250000,4.000000,4.000000,2.052566,3969600
2000-02-11,4.000000,4.000000,3.790833,3.790833,1.945233,43200
2000-02-14,3.791666,3.791666,3.741666,3.741666,1.920004,278400
2000-02-15,3.741666,3.833333,3.583333,3.833333,1.967042,158400
2000-02-16,3.833333,3.833333,3.833333,3.833333,1.967042,470400
2000-02-17,3.750000,3.750000,3.750000,3.750000,1.924280,9600
2000-02-18,3.750000,3.750000,3.750000,3.750000,1.924280,28800
2000-02-21,3.750000,3.750000,3.749166,3.750000,1.924280,52800
2000-02-22,3.666666,3.666666,3.666666,3.666666,1.881518,422400
2000-02-23,3.833333,3.833333,3.666666,3.750000,1.924280,792000
2000-02-24,3.750000,3.750000,3.708333,3.708333,1.902899,340800
2000-02-25,3.666666,3.666666,3.666666,3.666666,1.881518,38400
2000-02-28,3.625000,3.625000,3.583333,3.583333,1.838756,81600
2000-02-29,3.575000,3.575000,3.400000,3.400000,1.744681,465600
2000-03-01,3.400000,3.416666,3.374166,3.416666,1.753233,244800
2000-03-02,3.333333,3.333333,3.331666,3.331666,1.709616,624000
2000-03-03,3.333333,3.333333,3.290833,3.290833,1.688663,571200
2000-03-06,3.290833,3.290833,3.290833,3.290833,1.688663,0
2000-03-07,3.290833,3.290833,3.290833,3.290833,1.688663,0
2000-03-08,3.315000,3.315000,3.290833,3.309166,1.698070,158400
2000-03-09,3.250000,3.291666,3.241666,3.241666,1.663433,336000
2000-03-10,3.250000,3.250000,3.166666,3.166666,1.624947,211200
2000-03-13,3.166666,3.166666,3.166666,3.166666,1.624947,0
2000-03-14,3.133333,3.133333,3.000000,3.000000,1.539424,475200
2000-03-15,3.000000,3.000000,3.000000,3.000000,1.539424,216000
2000-03-16,3.000000,3.050000,3.000000,3.050000,1.565081,13742400
2000-03-17,3.083333,3.083333,3.024166,3.024166,1.551825,6254400
2000-03-20,3.025000,3.025000,2.750000,2.833333,1.453900,1041600
2000-03-21,2.875000,2.921666,2.875000,2.921666,1.499228,81600
2000-03-22,2.950833,3.050000,2.950833,2.975000,1.526596,2020800
2000-03-23,2.945833,3.058333,2.941666,3.041666,1.560804,681600
2000-03-24,3.083333,3.208333,3.058333,3.208333,1.646328,1377600
2000-03-27,3.250000,3.291666,3.208333,3.291666,1.689090,1262400
2000-03-28,3.250000,3.332500,3.125000,3.191666,1.637776,1233600
2000-03-29,3.250000,3.258333,3.125000,3.251666,1.668564,772800
2000-03-30,3.258333,3.291666,3.248333,3.248333,1.666854,28800
2000-03-31,3.208333,3.333333,3.191666,3.333333,1.710471,1003200
2000-04-03,3.316666,3.416666,3.291666,3.416666,1.753233,585600
2000-04-04,3.333333,3.375000,3.166666,3.250000,1.667710,1036800
2000-04-05,3.325000,3.408333,3.325000,3.375000,1.731852,566400
2000-04-06,3.416666,3.425000,3.333333,3.416666,1.753233,3528000
2000-04-07,3.416666,3.416666,3.375000,3.375000,1.731852,115200
2000-04-10,3.350000,3.359166,3.330833,3.330833,1.709188,1420800
2000-04-11,3.250000,3.333333,3.250000,3.330000,1.708761,1800000
2000-04-12,3.330000,3.330000,3.330000,3.330000,1.708761,0
2000-04-13,3.250000,3.250000,3.250000,3.250000,1.667710,96000
2000-04-14,3.166666,3.166666,3.075000,3.083333,1.582186,1497600
2000-04-17,3.083333,3.083333,2.958333,3.000000,1.539424,1396800
2000-04-18,2.917500,3.040833,2.917500,3.000000,1.539424,638400
2000-04-19,3.008333,3.025000,2.925000,2.925000,1.500939,936000
2000-04-20,3.083333,3.083333,3.050000,3.070833,1.575771,777600
2000-04-21,3.070833,3.070833,3.070833,3.070833,1.575771,0
2000-04-24,3.050000,3.050000,2.916666,3.041666,1.560804,6235200
2000-04-25,3.165833,3.165833,3.165833,3.165833,1.624520,91200
2000-04-26,3.166666,3.325000,3.166666,3.325000,1.706195,2188800
2000-04-27,3.283333,3.291666,3.232500,3.233333,1.659157,1521600
2000-04-28,3.291666,3.375000,3.291666,3.333333,1.710471,9720000
2000-05-01,3.333333,3.333333,3.333333,3.333333,1.710471,0
2000-05-02,3.291666,3.342500,3.291666,3.342500,1.715175,81600
2000-05-03,3.333333,3.375000,3.308333,3.316666,1.701919,2064000
2000-05-04,3.316666,3.316666,3.291666,3.291666,1.689090,1828800
2000-05-05,3.291666,3.333333,3.291666,3.333333,1.710471,1752000
2000-05-08,3.333333,3.333333,3.291666,3.291666,1.689090,787200
2000-05-09,3.250000,3.250000,3.250000,3.250000,1.667710,120000
2000-05-10,3.333333,3.333333,3.249166,3.333333,1.710471,8472000
2000-05-11,3.250000,3.250000,3.233333,3.233333,1.659157,758400
2000-05-12,3.208333,3.241666,3.191666,3.191666,1.637776,1238400
2000-05-15,3.208333,3.241666,3.191666,3.241666,1.663433,2126400
2000-05-16,3.291666,3.325000,3.283333,3.325000,1.706195,369600
2000-05-17,3.250000,3.390000,3.250000,3.390000,1.739549,1334400
2000-05-18,3.390000,3.458333,3.390000,3.458333,1.774614,96000
2000-05-19,3.375000,3.541666,3.333333,3.541666,1.817375,432000
2000-05-22,3.458333,3.458333,3.334166,3.458333,1.774614,566400
2000-05-23,3.416666,3.416666,3.291666,3.291666,1.689090,278400
2000-05-24,3.250000,3.266666,3.166666,3.250000,1.667710,2385600
2000-05-25,3.333333,3.334166,3.250000,3.250000,1.667710,2332800
2000-05-26,3.250000,3.308333,3.250000,3.308333,1.697643,8054400
2000-05-29,3.333333,3.335000,3.291666,3.291666,1.689090,187200
2000-05-30,3.416666,3.458333,3.416666,3.458333,1.774614,460800
2000-05-31,3.416666,3.485000,3.416666,3.485000,1.788298,1560000
2000-06-01,3.416666,3.541666,3.416666,3.508333,1.800271,177600
2000-06-02,3.508333,3.508333,3.499166,3.500000,1.795995,600000
2000-06-05,3.500000,3.583333,3.458333,3.583333,1.838756,3244800
2000-06-06,3.583333,3.583333,3.583333,3.583333,1.838756,0
2000-06-07,3.499166,3.550000,3.416666,3.550000,1.821652,3278400
2000-06-08,3.583333,3.584166,3.541666,3.583333,1.838756,787200
2000-06-09,3.542500,3.666666,3.541666,3.666666,1.881518,57600
2000-06-12,3.550000,3.550000,3.416666,3.425000,1.757509,6124800
2000-06-13,3.416666,3.416666,3.333333,3.333333,1.710471,518400
2000-06-14,3.416666,3.416666,3.416666,3.416666,1.753233,288000
2000-06-15,3.383333,3.391666,3.375000,3.375000,1.731852,4084800
2000-06-16,3.375000,3.500000,3.375000,3.475000,1.783166,4128000
2000-06-19,3.500000,3.625000,3.500000,3.625000,1.860138,1435200
2000-06-20,3.708333,3.708333,3.583333,3.666666,1.881518,211200
2000-06-21,3.666666,3.750000,3.666666,3.750000,1.924280,1382400
2000-06-22,3.750000,3.750000,3.750000,3.750000,1.924280,0
2000-06-23,3.749166,3.766666,3.749166,3.750000,1.924280,2438400
2000-06-26,3.758333,3.766666,3.750000,3.750000,1.924280,547200
2000-06-27,3.791666,3.791666,3.750000,3.750000,1.924280,273600
2000-06-28,3.750000,3.833333,3.750000,3.833333,1.967042,528000
2000-06-29,3.750000,3.833333,3.750000,3.790833,1.945233,1401600
2000-06-30,3.833333,3.833333,3.749166,3.749166,1.923852,724800
